id	name	year	Bevtotaal	Wdicht	Wligplaats	Winstituut	Wcorhuur	Wkoop	Wparthuur
E15	Centrale Markt	2007	2442		24	2			
E16	Frederik Hendrikbuurt	2007	7652		19	7			
E17	Da Costabuurt	2007	4240		68	29			
E18	Kinkerbuurt	2007	5060		14	9			
E19	Van Lennepbuurt	2007	6615		51	6			
E20	Helmersbuurt	2007	6814		13	22			
E21	Overtoomse Sluis	2007	7093		18	21			
E22	Vondelbuurt	2007	1707		0	6			
E36	Sloterdijk	2007	139		0	1			
E37	Landlust	2007	18099		18	0			
E38	Erasmuspark	2007	5074		0	1			
E39	De Kolenkit	2007	7021		0	6			
E40	Geuzenbuurt	2007	6274		0	1			
E41	Van Galenbuurt	2007	5499		0	0			
E42	Hoofdweg e,o,	2007	10072		0	2			
E43	Westindische Buurt	2007	6415		0	3			
E75	Chassébuurt	2007	5587		0	2			
F11	Bedrijventerrein Sloterdijk	2007	78		0	2			
F76	Slotermeer-Noordoost	2007	9137		0	6			
F77	Slotermeer-Zuidwest	2007	16077		4	7			
F78	Geuzenveld	2007	13799		0	61			
F79	Eendracht	2007	2320		0	0			
F80	Lutkemeer/Ookmeer	2007	894		0	0			
F81	Osdorp-Oost	2007	14020		0	11			
F82	Osdorp-Midden	2007	10590		0	4			
F83	De Punt	2007	4967		0	5			
F84	Middelveldsche Akerpolder	2007	14373		13	1			
F85	Slotervaart-Noord	2007	7650		0	7			
F86	Overtoomse Veld	2007	9693		0	21			
F87	Westlandgracht	2007	4505		0	4			
F88	Sloter-/Riekerpolder	2007	13947		12	25			
F89	Slotervaart-Zuid	2007	8757		0	252			
K23	Zuidas	2007	83		0	11			
K24	Oude Pijp	2007	13659		30	6			
K25	Nieuwe Pijp	2007	11352		21	6			
K26	Zuid-Pijp	2007	8181		24	3			
K44	Hoofddorppleinbuurt	2007	10648		44	6			
K45	Schinkelbuurt	2007	3728		0	11			
K46	Willemspark	2007	5161		0	22			
K47	Museumkwartier	2007	12631		3	28			
K48	Stadionbuurt	2007	10223		144	5			
K49	Apollobuurt	2007	8050		0	4			
K52	Scheldebuurt	2007	13099		0	5			
K53	IJselbuurt	2007	5026		8	0			
K54	Rijnbuurt	2007	8567		69	2			
K59	Prinses Irenebuurt e,o,	2007	1185		0	0			
K90	Buitenveldert-West	2007	11717		19	68			
K91	Buitenveldert-Oost	2007	7107		0	4			
M27	Weesperzijde	2007	4346		48	5			
M28	Oosterparkbuurt	2007	10401		0	70			
M29	Dapperbuurt	2007	8252		0	22			
M30	Transvaalbuurt	2007	9413		0	1			
M31	Indische Buurt-West	2007	12448		0	31			
M32	Indische Buurt-Oost	2007	10620		23	5			
M33	Oostelijk Havengebied	2007	17086		216	10			
M34	Zeeburgereiland/Nieuwe diep	2007	455		63	1			
M35	IJburg-West	2007	6091		0	0			
M50	IJburg-Oost	2007							
M51	IJburg-Zuid	2007			0	0			
M55	Frankendael	2007	9242		3	83			
M56	Middenmeer	2007	11979		0	5			
M57	Betondorp	2007	3053		0	0			
M58	Omval/Overamstel	2007	2112		97	3			
N60	Volewijck	2007	9732		41	9			
N61	IJplein/Vogelbuurt	2007	8331		37	5			
N62	Tuindorp Nieuwendam	2007	3438		3	0			
N63	Tuindorp Buiksloot	2007	1884		0	0			
N64	Nieuwendammerdijk/Buiksloterdijk	2007	1590		12	0			
N65	Tuindorp Oostzaan	2007	9489		63	25			
N66	Oostzanerwerf	2007	8939		72	1			
N67	Kadoelen	2007	2905		35	0			
N68	Waterlandpleinbuurt	2007	13055		0	3			
N69	Buikslotermeer	2007	10587		0	6			
N70	Banne Buiksloot	2007	13693		35	13			
N71	Noordelijke IJ-oevers-West	2007	611		83	0			
N72	Noordelijke IJ-oevers-Oost	2007	136		0	1			
N73	Waterland	2007	2129		80	1			
N74	Elzenhagen	2007	1104		1	0			
T92	Amstel III/Bullewijk	2007	113		11	7			
T93	Bijlmer-Centrum (D,F,H)	2007	20406		0	26			
T94	Bijlmer-Oost (E,G,K)	2007	22970		0	9			
T95	Nellestein	2007	2716		1	4			
T96	Holendrecht/Reigersbos	2007	18238		0	15			
T97	Gein	2007	11989		0	113			
T98	Driemond	2007	1485		0	0			
Z99	buiten beschouwing	2007							
A00	Burgwallen-Oude Zijde	2008	3754		2	16			
A01	Burgwallen-Nieuwe Zijde	2008	3726		10	5			
A02	Grachtengordel-West	2008	7409		70	12			
A03	Grachtengordel-Zuid	2008	5012		66	19			
A04	Nieuwmarkt/Lastage	2008	8667		198	23			
A05	Haarlemmerbuurt	2008	7191		150	86			
A06	Jordaan	2008	18685		119	10			
