id	name	year	data1	data2
M29	Dapperbuurt	2007	8252	4159
M30	Transvaalbuurt	2007	9413	4740
M31	Indische Buurt-West	2007	12448	6465
M32	Indische Buurt-Oost	2007	10620	5397
M33	Oostelijk Havengebied	2007	17086	8749
M34	Zeeburgereiland/Nieuwe diep	2007	455	220
M35	IJburg-West	2007	6091	3010
M50	IJburg-Oost	2007		0
M51	IJburg-Zuid	2007		0
M55	Frankendael	2007	9242	4389
M56	Middenmeer	2007	11979	5711
M57	Betondorp	2007	3053	1445
M58	Omval/Overamstel	2007	2112	1116
N60	Volewijck	2007	9732	4834
N61	IJplein/Vogelbuurt	2007	8331	4197
N62	Tuindorp Nieuwendam	2007	3438	1574
N63	Tuindorp Buiksloot	2007	1884	925
N64	Nieuwendammerdijk/Buiksloterdijk	2007	1590	788
N65	Tuindorp Oostzaan	2007	9489	4575
N66	Oostzanerwerf	2007	8939	4344
N67	Kadoelen	2007	2905	1397
N68	Waterlandpleinbuurt	2007	13055	6163
N69	Buikslotermeer	2007	10587	4925
N70	Banne Buiksloot	2007	13693	6461
N71	Noordelijke IJ-oevers-West	2007	611	285
N72	Noordelijke IJ-oevers-Oost	2007	136	75
N73	Waterland	2007	2129	1094
N74	Elzenhagen	2007	1104	543
T92	Amstel III/Bullewijk	2007	113	74
T93	Bijlmer-Centrum (D,F,H)	2007	20406	10274
T94	Bijlmer-Oost (E,G,K)	2007	22970	11382
T95	Nellestein	2007	2716	1365
T96	Holendrecht/Reigersbos	2007	18238	8471
T97	Gein	2007	11989	5783
T98	Driemond	2007	1485	725
Z99	buiten beschouwing	2007		0
A00	Burgwallen-Oude Zijde	2008	3754	2147
A01	Burgwallen-Nieuwe Zijde	2008	3726	2177
A02	Grachtengordel-West	2008	7409	4266
A03	Grachtengordel-Zuid	2008	5012	2726
A04	Nieuwmarkt/Lastage	2008	8667	4537
A05	Haarlemmerbuurt	2008	7191	3649
A06	Jordaan	2008	18685	9520
A07	De Weteringschans	2008	6880	3554
A08	Weesperbuurt/Plantage	2008	7501	3715
A09	Oostelijke Eilanden/Kadijken	2008	12492	6356
B10	Westelijk Havengebied	2008	253	165
E12	Houthavens	2008	1817	842
E13	Spaarndammer- en Zeeheldenbuurt	2008	10002	5012
E14	Staatsliedenbuurt	2008	12094	6174
E15	Centrale Markt	2008	2616	1222
E16	Frederik Hendrikbuurt	2008	7791	3905
E17	Da Costabuurt	2008	4349	2177
E18	Kinkerbuurt	2008	5028	2577
E19	Van Lennepbuurt	2008	6630	3307
E20	Helmersbuurt	2008	6788	3268
E21	Overtoomse Sluis	2008	7007	3414
E22	Vondelbuurt	2008	1682	869
E36	Sloterdijk	2008	135	76
E37	Landlust	2008	17830	9016
E38	Erasmuspark	2008	5068	2498
E39	De Kolenkit	2008	7045	3566
E40	Geuzenbuurt	2008	6304	3109
E41	Van Galenbuurt	2008	5414	2686
E42	Hoofdweg e,o,	2008	10039	4980
E43	Westindische Buurt	2008	6353	3035
E75	Chassébuurt	2008	5657	2762
F11	Bedrijventerrein Sloterdijk	2008	74	46
F76	Slotermeer-Noordoost	2008	9155	4665
F77	Slotermeer-Zuidwest	2008	15707	7752
F78	Geuzenveld	2008	14115	6974
F79	Eendracht	2008	2333	1141
F80	Lutkemeer/Ookmeer	2008	878	435
F81	Osdorp-Oost	2008	14141	6611
F82	Osdorp-Midden	2008	11485	5465
F83	De Punt	2008	4971	2386
F84	Middelveldsche Akerpolder	2008	14359	7069
F85	Slotervaart-Noord	2008	7591	3763
F86	Overtoomse Veld	2008	9808	4830
F87	Westlandgracht	2008	4581	2367
